subset,model,k,metric,value_mean,value_std
changed,WithoutPhrase,10,nDCG,0.6531476942602311,0.001436906088092909
changed,WithoutText,1,Strict-Hit,0.6224840451644575,0.003706349747310124
changed,WithoutText,1,Strict-MRR,0.6224840451644575,0.003706349747310124
changed,WithoutText,1,Strict-Recall,0.6224840451644575,0.003706349747310124
changed,WithoutText,1,nDCG,0.6321621432077986,0.003065782031614301
changed,WithoutText,2,Strict-Hit,0.7432498772704959,0.003065782031614323
changed,WithoutText,2,Strict-MRR,0.6828669612174766,0.0027878784220914353
changed,WithoutText,2,Strict-Recall,0.7432498772704959,0.003065782031614323
changed,WithoutText,2,nDCG,0.5724239232183091,0.0019778485917162285
changed,WithoutText,3,Strict-Hit,0.7884143348060874,0.004499337943010136
changed,WithoutText,3,Strict-MRR,0.6979217803960073,0.003576745703550123
changed,WithoutText,3,Strict-Recall,0.7884143348060874,0.004499337943010136
changed,WithoutText,3,nDCG,0.540865588816632,0.0029681113160676836
changed,WithoutText,4,Strict-Hit,0.826705940108002,0.003065782031614403
changed,WithoutText,4,Strict-MRR,0.7074946817214859,0.003224618949261818
changed,WithoutText,4,Strict-Recall,0.826705940108002,0.003065782031614403
changed,WithoutText,4,nDCG,0.5560519797420738,0.0022006261366691758
changed,WithoutText,5,Strict-Hit,0.8483063328424153,0.0014727540500736325
changed,WithoutText,5,Strict-MRR,0.7118147602683685,0.0028386709075833446
changed,WithoutText,5,Strict-Recall,0.8483063328424153,0.0014727540500736325
changed,WithoutText,5,nDCG,0.5642984549898186,0.0019476537439539273
changed,WithoutText,6,Strict-Hit,0.865979381443299,0.003896540958857999
changed,WithoutText,6,Strict-MRR,0.7147602683685158,0.001999298404821629
changed,WithoutText,6,Strict-Recall,0.865979381443299,0.003896540958857999
changed,WithoutText,6,nDCG,0.5718459302226929,0.0007356209213261406
changed,WithoutText,7,Strict-Hit,0.8757977417771232,0.002249668971505068
changed,WithoutText,7,Strict-MRR,0.7161628912733479,0.0024545458336440672
changed,WithoutText,7,Strict-Recall,0.8757977417771232,0.002249668971505068
changed,WithoutText,7,nDCG,0.57573657962133,0.001215064746321435
changed,WithoutText,8,Strict-Hit,0.8875797741777123,0.003706349747310152
changed,WithoutText,8,Strict-MRR,0.7176356453234215,0.002136565750962664
changed,WithoutText,8,Strict-Recall,0.8875797741777123,0.003706349747310152
changed,WithoutText,8,nDCG,0.5797118504875735,0.000706398060530043
changed,WithoutText,9,Strict-Hit,0.8998527245949927,0.0014727540500737435
changed,WithoutText,9,Strict-MRR,0.7189993064808972,0.0023714790228616055
changed,WithoutText,9,Strict-Recall,0.8998527245949927,0.0014727540500737435
changed,WithoutText,9,nDCG,0.5835103627964926,0.0011700320814519499
changed,WithoutText,10,Strict-Hit,0.9037800687285223,0.0030657820316142962
changed,WithoutText,10,Strict-MRR,0.7193920408942499,0.0021770125270792985
changed,WithoutText,10,Strict-Recall,0.9037800687285223,0.0030657820316142962
changed,WithoutText,10,nDCG,0.5849782913414692,0.0007234034913629153
unchanged,AliasAwareFusion,1,Strict-Hit,0.7817958179581795,0.0037145556877101
unchanged,AliasAwareFusion,1,Strict-MRR,0.7817958179581795,0.0037145556877101
unchanged,AliasAwareFusion,1,Strict-Recall,0.7817958179581795,0.0037145556877101
unchanged,AliasAwareFusion,1,nDCG,0.7887541732560184,0.003600592799604408
unchanged,AliasAwareFusion,2,Strict-Hit,0.8538745387453875,0.0058577519802168
unchanged,AliasAwareFusion,2,Strict-MRR,0.8178351783517835,0.004759050952559241
unchanged,AliasAwareFusion,2,Strict-Recall,0.8538745387453875,0.0058577519802168
unchanged,AliasAwareFusion,2,nDCG,0.6749835453680512,0.0037902967531877486
unchanged,AliasAwareFusion,3,Strict-Hit,0.8873308733087332,0.0033278595961792846
unchanged,AliasAwareFusion,3,Strict-MRR,0.8289872898728987,0.0039019381723583504
unchanged,AliasAwareFusion,3,Strict-Recall,0.8873308733087332,0.0033278595961792846
unchanged,AliasAwareFusion,3,nDCG,0.6386554146715725,0.0025955429600457995
unchanged,AliasAwareFusion,4,Strict-Hit,0.905289052890529,0.005235866335496383
unchanged,AliasAwareFusion,4,Strict-MRR,0.8334768347683476,0.004396469586721074
unchanged,AliasAwareFusion,4,Strict-Recall,0.905289052890529,0.005235866335496383
unchanged,AliasAwareFusion,4,nDCG,0.6489556189519718,0.0033584225172938664
unchanged,AliasAwareFusion,5,Strict-Hit,0.9153751537515374,0.004686976355044845
unchanged,AliasAwareFusion,5,Strict-MRR,0.8354940549405493,0.004240427637955065
unchanged,AliasAwareFusion,5,Strict-Recall,0.9153751537515374,0.004686976355044845
unchanged,AliasAwareFusion,5,nDCG,0.6544819239223737,0.0032642939123588804
unchanged,AliasAwareFusion,6,Strict-Hit,0.9254612546125461,0.0019525839934055231
unchanged,AliasAwareFusion,6,Strict-MRR,0.8371750717507176,0.003818199366386007
unchanged,AliasAwareFusion,6,Strict-Recall,0.9254612546125461,0.0019525839934055231
unchanged,AliasAwareFusion,6,nDCG,0.6584784016811386,0.002772011101316099
unchanged,AliasAwareFusion,7,Strict-Hit,0.9333333333333332,0.0011273248942080029
unchanged,AliasAwareFusion,7,Strict-MRR,0.8382996544251157,0.00356952613128388
unchanged,AliasAwareFusion,7,Strict-Recall,0.9333333333333332,0.0011273248942080029
unchanged,AliasAwareFusion,7,nDCG,0.6619605318410232,0.002359294023269901
unchanged,AliasAwareFusion,8,Strict-Hit,0.9394833948339484,0.0007380073800737907
unchanged,AliasAwareFusion,8,Strict-MRR,0.8390684121126926,0.003486237436399917
unchanged,AliasAwareFusion,8,Strict-Recall,0.9394833948339484,0.0007380073800737907
unchanged,AliasAwareFusion,8,nDCG,0.6645301521841742,0.002315138411210349
unchanged,AliasAwareFusion,9,Strict-Hit,0.9453874538745387,0.0012782662786484645
unchanged,AliasAwareFusion,9,Strict-MRR,0.8397244186727582,0.003672433394279535
unchanged,AliasAwareFusion,9,Strict-Recall,0.9453874538745387,0.0012782662786484645
unchanged,AliasAwareFusion,9,nDCG,0.6668850113659359,0.0026186807086593556
unchanged,AliasAwareFusion,10,Strict-Hit,0.9515375153751539,0.002130443797747692
unchanged,AliasAwareFusion,10,Strict-MRR,0.8403394248228196,0.003753059438908499
unchanged,AliasAwareFusion,10,Strict-Recall,0.9515375153751539,0.002130443797747692
unchanged,AliasAwareFusion,10,nDCG,0.6688373779587549,0.00274691271130497
unchanged,WithoutEntity,1,Strict-Hit,0.7107011070110701,0.0
unchanged,WithoutEntity,1,Strict-MRR,0.7107011070110701,0.0
unchanged,WithoutEntity,1,Strict-Recall,0.7107011070110701,0.0
unchanged,WithoutEntity,1,nDCG,0.7170268845545599,0.0
unchanged,WithoutEntity,2,Strict-Hit,0.785239852398524,0.0
unchanged,WithoutEntity,2,Strict-MRR,0.7479704797047969,0.0
unchanged,WithoutEntity,2,Strict-Recall,0.785239852398524,0.0
unchanged,WithoutEntity,2,nDCG,0.6177663532486452,0.0
unchanged,WithoutEntity,3,Strict-Hit,0.825830258302583,0.0
